# w_1 = 6.0 GHz
# w2 [GHz]  wc [GHz]
   6.00000  10.50000
   6.30000   8.60000
   6.30000   7.60000
   6.02500  10.50000
   6.02500   8.50000
   5.50000  10.10000
   7.25000   5.00000
   6.00000   9.10000
   6.02500   7.50000
   5.90000   6.60000
   6.02500   9.50000
   5.97500   9.90000
   5.80000   8.10000
   6.00000  10.10000
   7.00000   8.60000
   6.50000   8.60000
   7.50000   4.50000
   6.02500   5.30000
   5.96700   8.34500
   5.95000   6.30000
   6.05000   6.40000
   6.29000   8.60000
   5.96000   9.62600
   6.10000   7.60000
   7.46300   7.09200
   6.00100   5.53100
   6.00000   9.50000
   5.97500   8.10000
   5.00000   7.10000
   5.80000   6.40000
   7.00000  11.10000
   6.00000   5.00000
   6.62000   5.00000
   6.10000   6.30000
   5.00000   6.60000
   6.29000   4.50000
   6.25000   8.82600
   6.58000   9.10000
   7.50000   6.60000
   5.97500  10.70000
   5.00000   6.30000
   6.00000   6.30000
   6.00000   7.10000
   6.34000   8.59300
   6.00000   5.50000
   6.15000   6.30000
   6.45000   5.50000
   6.20000   6.40000
   5.70000   7.10000
   5.97500   9.10000
   7.37100   7.33600
   7.44200   7.40600
   6.36500   5.17000
   6.17900  10.42900
   5.97500  10.50000
   5.97500   9.50000
   6.20000   4.50000
   6.75000   8.10000
   5.97500  10.10000
   6.00000   6.70000
   6.20000   8.60000
   6.58000   8.60000
   6.38600   4.84700
   6.00000   7.92000
   7.00000   7.60000
   5.00000   5.80000
   5.01900   5.42000
   5.96600   7.22800
   6.02500   7.10000
   6.26700   4.49800
   5.80000   9.10000
   6.59500   9.17700
   6.02500   8.10000
   6.66300   5.18800
   7.25000   7.60000
   5.90000   5.00000
   5.97500   6.90000
   7.20000   6.02500
   6.02500   7.30000
   5.00000  10.10000
   6.29800   9.97400
   5.71500  10.65300
   6.00000   7.30000
   6.58000   8.10000
   6.00000   6.60000
   5.97500   6.70000
   5.80000   7.60000
   6.75000  10.10000
   6.62000   9.10000
   6.75000   5.80000
   6.29000   7.60000
   5.50000   6.40000
   5.97500   4.50000
   7.00000   5.80000
   7.50000   5.97500
   5.97500   8.90000
   6.02500   4.70000
   6.00000   8.60000
   6.30000  10.10000
   5.96900   8.26200
   5.85000   6.20000
   6.00000  10.90000
   5.90000   6.40000
   5.00000   8.10000
   6.00000   4.90000
   5.50000   8.10000
   5.70000   8.10000
   5.80000   8.60000
   5.96700   5.19400
   6.50000   7.60000
   6.00000   7.60000
   5.66500   9.96200
   5.50000   7.60000
   6.10000   8.60000
   6.06500   7.06900
   7.33600   7.37100
   7.25000   4.50000
   7.00000   8.10000
   5.50000   6.20000
   5.85000   6.50000
   7.25000   8.60000
   6.50000   8.10000
   6.00000  10.30000
   6.29000  10.10000
   7.50000   6.10000
   7.50000   8.60000
   6.50000   5.70000
   6.50000  11.10000
   6.35000   8.10000
   6.10000   7.10000
   6.28900   9.15000
   6.58000   5.00000
   6.20000   6.50000
   6.00000   5.30000
   7.50000   5.00000
   6.10000  10.10000
   6.02500  10.70000
   5.90000   8.60000
   6.62000  10.10000
   7.00000   9.10000
   5.93800   6.64100
   6.00000  11.10000
   6.36800  10.66200
   6.35000  11.10000
   5.97500   8.18600
   7.50000   7.10000
   5.80000   6.50000
   6.29000  11.10000
   5.00000   9.10000
   7.50000   6.30000
   6.35000   8.60000
   7.25000   6.10000
   5.68000   9.63100
   7.25000   7.10000
   7.40000   5.97500
   5.50000   9.10000
   6.20000   8.10000
   6.50000   5.60000
   5.60000   6.50000
   6.00000   7.70000
   6.00000   8.70000
   5.96000   8.60900
   5.79100   6.91000
   6.10400   9.01000
   5.97500   8.30000
   6.10000   5.00000
   5.97500   7.10000
   7.25000   8.10000
   5.70100   8.60200
   6.29500   7.92000
   5.59500   8.29100
   6.02500   9.30000
   5.90000   7.10000
   6.00000   4.50000
   6.58000   7.10000
   5.97500  10.30000
   6.45000   5.60000
   6.02500   6.90000
   6.00000   9.30000
   5.95000   6.20000
   6.21000   8.09800
   5.62300   7.58900
   6.75000   7.60000
   5.80000   4.50000
   5.70000   7.60000
   6.02500   7.70000
   5.97500   6.50000
   6.50000   4.50000
   6.68400   7.52700
   5.97500   7.50000
   5.50000   7.10000
   6.35000  10.10000
   5.97500   6.30000
   6.62000  11.10000
   5.97500   7.90000
   5.73600   8.95600
   5.88600   6.20400
   5.50000   6.60000
   6.35000   4.50000
   6.00000   6.40000
   6.00000   9.90000
   6.02500   8.90000
   6.30000   9.10000
   5.65600  10.99300
   7.25000   9.10000
   6.02500   8.30000
   6.26400   9.62600
   5.97500   4.90000
   5.97500   8.70000
   6.75000   4.50000
   6.75000   8.60000
   5.79500  10.30300
   6.10000   8.10000
   6.38500   8.35200
   6.04700  10.33100
   5.50000   6.30000
   6.02500   8.70000
   6.62000   7.10000
   6.75000   9.10000
   5.90000  11.10000
   5.61900   7.92200
   7.25000  11.10000
   6.31000  11.10000
   6.58000  11.10000
   6.00000   8.30000
   6.35000   7.10000
   7.00000   4.50000
   6.42600   7.23600
   6.02400   6.56100
   6.20000   7.10000
   6.50000   7.10000
   6.14100   5.38000
   5.50000   6.50000
   5.97500  10.90000
   6.58000  10.10000
   7.25000   6.60000
   6.25300   8.95000
   5.90000   8.10000
   5.22200   5.67100
   7.50000   8.10000
   6.02500  10.30000
   6.10000   4.50000
   5.99700   6.89000
   6.50000   5.00000
   6.00000   8.90000
   6.02500   5.10000
   6.00000   7.50000
   6.31800  10.98400
   5.70000   8.40000
   5.90000   4.50000
