# w_1 = 6.0 GHz
# w2 [GHz]  wc [GHz]
   6.30000   8.90000
   5.95000   7.70000
   5.92000   5.90000
   7.30000   7.85000
   5.34000   5.25000
   5.65000   8.80000
   6.14000   5.95000
   6.42000   9.95000
   6.92000   5.25000
   5.68000   8.45000
   5.96000   6.25000
   5.26000   4.85000
   5.94000   6.80000
   6.98000   7.50000
   5.69000   5.50000
   6.35000   9.10000
   6.44000   4.60000
   6.30000   6.70000
   5.75000   4.70000
   6.27000   8.40000
   6.22000   5.70000
   5.68000   7.95000
   5.26000   5.75000
   5.72000   5.35000
   5.92000   6.70000
   6.80000   4.55000
   6.47000   6.55000
   5.82000   7.95000
   5.48000   7.05000
   5.72000   6.55000
   5.62000   7.05000
   7.36000   4.70000
   6.26000   6.50000
   5.52000  10.05000
   5.02000   5.90000
   5.80000  10.70000
   6.36000   8.60000
   5.64000  10.10000
   6.22000   5.25000
   5.94000   8.60000
   6.02000  10.00000
   6.32000   9.70000
   6.23000   7.30000
   6.46000   5.90000
   6.36000   5.55000
   7.50000   8.50000
   6.40000   9.40000
   5.56000  10.95000
   5.82000  10.55000
   6.37000  10.60000
   6.01000   8.05000
   5.28000   6.60000
   5.54000   8.15000
   5.97000   4.80000
   6.22000   6.95000
   5.72000   5.45000
   6.14000   8.25000
   7.36000   4.65000
   6.36000   7.80000
   6.44000   7.05000
   5.68000   7.55000
   6.28000   9.55000
   6.05000   5.80000
   5.78000   4.55000
   6.34000   6.75000
   7.22000   6.25000
   5.66000   9.60000
   5.72000  10.10000
   6.18000   6.25000
   7.38000   8.20000
   5.95000   4.95000
   5.90000   9.40000
   5.06000   6.45000
   5.65000   7.25000
   6.00000   8.05000
   5.98000   5.80000
   5.69000   8.30000
   6.48000   5.10000
   5.61000   9.50000
   5.97000   9.25000
   6.03000   6.00000
   5.88000   8.10000
   7.32000   4.90000
   6.22000   9.05000
   6.38000   8.20000
   5.68000   8.15000
   5.75000   9.05000
   5.46000   5.35000
   6.84000   6.80000
   5.68000   8.50000
   5.90000   6.20000
   7.00000   8.15000
   5.73000   8.50000
   6.54000   8.25000
   6.42000  10.80000
   6.36000   6.95000
   5.71000   7.25000
   5.99000  10.65000
   7.44000   7.15000
   6.82000   6.50000
   5.84000   5.80000
   6.46000   9.65000
   6.38000  10.65000
   6.38000   5.90000
   5.86000   8.25000
   5.60000   9.00000
   6.12000  10.80000
   7.06000   4.50000
   5.40000   6.70000
   5.53000   5.75000
   6.02000   7.95000
   5.16000   4.65000
   5.73000   7.45000
   7.42000   6.60000
   5.82000  10.60000
   5.95000   9.95000
   5.96000   7.10000
   5.68000  10.15000
   5.73000   4.75000
   6.58000   7.30000
   6.30000   7.45000
   5.30000   6.90000
   6.10000   8.85000
   6.40000  10.85000
   6.40000   8.30000
   5.54000   8.30000
   5.40000   4.65000
   7.02000   4.80000
   6.98000   6.95000
   6.28000   7.90000
   5.66000   7.40000
   6.27000   4.80000
   5.76000   7.45000
   6.13000   6.05000
   5.95000   7.80000
   7.28000   5.75000
   6.14000   7.25000
   5.56000   7.80000
   5.56000   5.75000
   6.04000  10.55000
   6.04000  10.85000
   5.72000   5.30000
   5.95000   6.75000
   6.27000   6.50000
   6.05000  10.75000
   5.44000   4.90000
   5.42000   7.35000
   5.50000   5.05000
   6.98000   6.80000
   5.35000   5.65000
   5.12000   6.00000
   6.82000   7.70000
   5.80000  10.85000
   6.84000   8.25000
   5.62000   7.35000
   5.27000   5.20000
   5.66000   6.15000
   5.74000   9.15000
   5.24000   5.80000
   6.30000   5.65000
   5.95000   7.85000
   6.42000   6.20000
   7.48000   5.15000
   5.70000   9.30000
   6.34000   8.55000
