#        t [ns]             Re[<00|Psi>]             Im[<00|Psi>]             Re[<01|Psi>]             Im[<01|Psi>]             Re[<10|Psi>]             Im[<10|Psi>]             Re[<11|Psi>]             Im[<11|Psi>]
       0.000000   1.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00
       0.025013   9.9999999999791644E-01   2.9208573956617630E-14   4.9638886895879480E-07   6.0449874649253689E-09   4.8937969094517235E-07   2.1112153894815075E-09   2.5375548118467983E-13   4.1793617033968822E-15
       0.050025   9.9999999979312371E-01   3.3876014931844561E-12   2.9459099970924204E-06  -3.9734566703551176E-06   2.8670735031736538E-06  -3.9444242097986791E-06  -7.5500912935167960E-12  -2.4039070197589898E-11
       0.075038   9.9999999748549440E-01   5.2405782691913206E-11  -5.1640157948679940E-06  -1.6454315919547540E-05  -5.2987280137433583E-06  -1.6155314241752970E-05  -2.4909330456332278E-10   1.7823354168961022E-10
       0.100050   9.9999998564553827E-01   3.7602111572549097E-10  -3.9046246360958033E-05  -1.3170212121206756E-05  -3.8706315176367974E-05  -1.2347229755545021E-05   1.4088873948648624E-09   1.0360302798595069E-09
       0.125063   9.9999994517509605E-01   1.7542334768198351E-09  -6.5753332257661629E-05   4.6511369163245514E-05  -6.3887214367221883E-05   4.7169456604752572E-05   2.0958858458757571E-09  -6.3435665434480169E-09
       0.150075   9.9999983715306096E-01   6.2023343891399546E-09  -2.0141507754904397E-06   1.3881198228820089E-04   1.3294792469650586E-06   1.3688935975882270E-04  -1.9849707445091341E-08  -9.3923802559618350E-11
       0.175088   9.9999959303630148E-01   1.8066895396503731E-08   1.7540702374755358E-04   1.3195424956441662E-04   1.7657912808563889E-04   1.2521142576934867E-04   1.5096192345535643E-08   4.7272027025514876E-08
       0.200100   9.9999910364904088E-01   4.5609420803522271E-08   3.1173397878160770E-04  -9.4768499012131595E-05   3.0430347437937537E-04  -1.0329606117753355E-04   8.8838136376096639E-08  -6.3752024499416815E-08
       0.225113   9.9999820744413703E-01   1.0313299467856873E-07   1.5188738726762177E-04  -4.3512252914979649E-04   1.3422670647232645E-04  -4.3434649315898669E-04  -1.7607644485218390E-07  -1.2986333791057424E-07
       0.250125   9.9999667855505336E-01   2.1368301434913660E-07  -3.5625399633406810E-04  -5.1658668332490944E-04  -3.7164333874634505E-04  -4.9512151632228598E-04  -1.2878355257760668E-07   3.8464602649212961E-07
       0.275138   9.9999421517632869E-01   4.1232617239425151E-07  -8.2809373562814923E-04  -2.2968493390599218E-05  -8.1728600775076712E-04   1.3485980363650053E-05   7.0691177030282781E-07   7.8710365007530750E-09
       0.300150   9.9999042881213707E-01   7.4998331103658265E-07  -6.5308118104223840E-04   8.4247570850530529E-04  -6.0357688910743967E-04   8.6157228256413768E-04  -3.4634246969445444E-07  -1.1181774793811929E-06
       0.325163   9.9998483491666890E-01   1.2977627737273818E-06   3.7022493408777235E-04   1.2902707501301262E-03   4.3171514104124904E-04   1.2526076547217321E-03  -1.5200311134824475E-06   1.0656183457017536E-06
       0.350175   9.9997684541683174E-01   2.1517125978622875E-06   1.5572520611711424E-03   5.7328578881838874E-04   1.5668945640577685E-03   4.7798894890772089E-04   2.2607322519267570E-06   1.7141048969619620E-06
       0.375188   9.9996576355791511E-01   3.4378834890722458E-06   1.6824220568521862E-03  -1.1159075703220326E-03   1.5910808884549302E-03  -1.2008456338440557E-03   1.3946238253053201E-06  -3.9610885776401278E-06
       0.400200   9.9995078144776839E-01   5.3175710986154208E-06   1.1375459347569880E-04  -2.4193160325601155E-03  -4.3417725798661699E-05  -2.3914913656600456E-03  -6.0417643897542894E-06  -1.7371127025177182E-07
       0.425213   9.9993098059655694E-01   7.9925867001593709E-06  -2.2318071186693067E-03  -1.8042272703080867E-03  -2.3228624382979680E-03  -1.6248924009238687E-03   2.3504547038420315E-06   8.1548929026083174E-06
       0.450225   9.9990533565962725E-01   1.1710390810029647E-05  -3.2521175295097387E-03   8.5764015170852552E-04  -3.1417871333122940E-03   1.0819362952434542E-03   9.6888226142058209E-06  -6.4811447060730945E-06
       0.475238   9.9987272149312512E-01   1.6768915332426278E-05  -1.4312278108919514E-03   3.6308541010383081E-03  -1.1296673994816541E-03   3.6875019194166124E-03  -1.2277126213328859E-05  -9.7806053346886548E-06
       0.500250   9.9983192352880157E-01   2.3520896961011347E-05   2.3908466516191782E-03   3.7986766277407192E-03   2.6651089651724214E-03   3.5466744645564598E-03  -7.4030536943889171E-06   1.9397988628746170E-05
       0.525263   9.9978165136915231E-01   3.2377548143292202E-05   5.1069869134331590E-03   3.6859013388322148E-04   5.0614840191069085E-03  -7.6639171848389776E-05   2.6977479402688750E-05   1.5360649491452748E-06
       0.550275   9.9972055539998295E-01   4.3811401996815540E-05   3.7620131750440667E-03  -4.4116676539179382E-03   3.3046899207303982E-03  -4.6850752250881360E-03  -8.5859659519328953E-06  -3.3568061220443707E-05
       0.575288   9.9964724611804179E-01   5.8358183999351209E-05  -1.4893542905691625E-03  -6.3483100772843545E-03  -2.0706694028208147E-03  -6.1081402021037259E-03  -3.7197670814521820E-05   2.3180288688272325E-05
       0.600300   9.9956031577975857E-01   7.6617585666260336E-05  -6.7008247500021179E-03  -2.8653163172375801E-03  -6.8816296713297819E-03  -2.1511413296312000E-03   4.1625933677085118E-05   3.5566944536376994E-05
       0.625313   9.9945836189637194E-01   9.9252843151429606E-05  -6.9789191514379517E-03   4.1074655382024637E-03  -6.4379399292707144E-03   4.7717400538564150E-03   2.6392299262382169E-05  -6.2243331358092989E-05
       0.650325   9.9934001203354605E-01   1.2698905590956329E-04  -9.2063341007434353E-04   8.9024387577716566E-03   6.7975549816011796E-05   8.8585417334183150E-03  -8.2213383468642291E-05  -7.8699726777855163E-06
       0.675338   9.9920394932224188E-01   1.6061021624542667E-04   7.2793025790032408E-03   6.6240821783581771E-03   7.9155326022962019E-03   5.6829442509421357E-03   2.0796574352944218E-05   9.7696424829998621E-05
       0.700350   9.9904893805390271E-01   2.0095495847870758E-04   1.0564367830502618E-02  -2.1082606041630857E-03   1.0134743869453266E-02  -3.3316036850117984E-03   1.0418693632699553E-04  -5.8892106785977391E-05
       0.725363   9.9887384871813700E-01   2.4891107536724574E-04   4.9876468378057537E-03  -1.0627545573075738E-02   3.5818094302523433E-03  -1.1063503208136882E-02  -1.0381181533311076E-04  -9.7102230470038351E-05
       0.750375   9.9867768184561367E-01   3.0540888791931605E-04  -6.0632109910948064E-03  -1.1205986375737385E-02  -7.4047337937967264E-03  -1.0224150411896317E-02  -7.2557693642032365E-05   1.5091513905708949E-04
       0.775388   9.9845959004273921E-01   3.7141359137030181E-04  -1.3639221858007785E-02  -1.9268724404973158E-03  -1.3651125818669807E-02  -5.8161571309345543E-05   1.9369698052338079E-04   2.8235081082419004E-05
       0.800400   9.9821889764715654E-01   4.4791673366970954E-04  -1.0402727894914506E-02   1.0580531642098602E-02  -8.7308861104283386E-03   1.1836901966800987E-02  -3.5787331675350231E-05  -2.2432299922815754E-04
       0.825413   9.9795511749272836E-01   5.3592701191039721E-04   2.4907492247900954E-03   1.5732602160753822E-02   4.7250535584714894E-03   1.5069921913201187E-02  -2.3452059002818833E-04   1.1639467692857878E-04
       0.850425   9.9766796434758143E-01   6.3646059576634136E-04   1.5116952405354553E-02   7.8724556169357581E-03   1.6003067134709777E-02   5.4421936981516629E-03   2.0713466450473413E-04   2.1675367644448913E-04
       0.875438   9.9735736467639446E-01   7.5053120419077781E-04   1.6345978834436600E-02  -7.9615074774353443E-03   1.4770685035822233E-02  -1.0349084124904512E-02   1.6554775576755590E-04  -2.9837579259842648E-04
