#        t [ns]             Re[<00|Psi>]             Im[<00|Psi>]             Re[<01|Psi>]             Im[<01|Psi>]             Re[<10|Psi>]             Im[<10|Psi>]             Re[<11|Psi>]             Im[<11|Psi>]
       0.000000   1.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00
       0.025013   9.9999999944000351E-01   7.8478027320688106E-12  -6.0963373255617651E-06   5.3908576646986100E-06  -5.9678913336516121E-06   5.3614848588058529E-06   7.8116681662833736E-12  -6.7753428116581414E-11
       0.050025   9.9999994705370343E-01   9.6306642211066263E-10   7.0840013453152542E-06   7.8817501357115940E-05   7.7198870122294886E-06   7.7630447282641020E-05  -6.3345851672887285E-09   1.2102751229905589E-09
       0.075038   9.9999938417611012E-01   1.5723973763216754E-08   2.3057697375595778E-04   1.4033024606912266E-04   2.2908354970291122E-04   1.3538807258269681E-04   3.5333612843722927E-08   6.6190142406108290E-08
       0.100050   9.9999663689999985E-01   1.1304009036126054E-07   5.8423465242988832E-04  -2.3816190668606664E-04   5.7195313512518864E-04  -2.4441669725931708E-04   2.8823091652454042E-07  -2.9146497195972509E-07
       0.125063   9.9998772468723096E-01   5.1713307924291679E-07   2.9874820160250600E-04  -1.1680863178221809E-03   2.7056989680588809E-04  -1.1574498496237488E-03  -1.3278220632676212E-06  -6.9123561338199445E-07
       0.150075   9.9996520120752874E-01   1.7750845959823745E-06  -1.2808094956342840E-03  -1.5758506937803890E-03  -1.3009585171530511E-03  -1.5217651244578486E-03  -7.6408022277487522E-07   4.1772247685121801E-06
       0.175088   9.9991712571202118E-01   4.9927785604641317E-06  -3.1320627356648438E-03   1.3822572615118282E-04  -3.0826796382642518E-03   2.2591792630484751E-04   1.0051887603496498E-05  -1.1849037641707779E-06
       0.200100   9.9982633677614507E-01   1.2129250794044945E-05  -2.5440151432964465E-03   3.7608483236842346E-03  -2.3831892685700117E-03   3.7894944289183054E-03  -8.5549474942119071E-06  -1.9430228142225792E-05
       0.225113   9.9967016598246861E-01   2.6329517013072631E-05   2.0684549963012511E-03   5.9091742889226832E-03   2.2577705086788682E-03   5.7449660659661351E-03  -3.0579545986754532E-05   2.6352105319876028E-05
       0.250125   9.9942068804941375E-01   5.2267833884170624E-05   7.9234438142159434E-03   2.4784346542275249E-03   7.9082570802459680E-03   2.1114582164251782E-03   6.0000412293090017E-05   3.7946058458840157E-05
       0.275138   9.9904555740771328E-01   9.6467472867265780E-05   8.6332676922049063E-03  -6.2578067636055636E-03   8.2133890626855076E-03  -6.5617119553251961E-03   3.1168118740730726E-05  -1.1291265866838582E-04
       0.300150   9.9850943109151524E-01   1.6756004535021927E-04   1.8442354956875001E-04  -1.3332216464133078E-02  -4.9640494453539932E-04  -1.3136105430437526E-02  -1.8318042831198361E-04   4.4326994737631284E-06
       0.325163   9.9777592641497503E-01   2.7644775637095760E-04  -1.2919454962592745E-02  -9.9347028785376958E-03  -1.3269221731182178E-02  -9.0595766202488087E-03   8.5268394243740366E-05   2.6029507793686265E-04
       0.350175   9.9681001224051990E-01   4.3633604278684867E-04  -1.8808547494766001E-02   5.2630140751153002E-03  -1.8187158611208433E-02   6.3179099331401771E-03   3.2318530188621126E-04  -2.2477372727150154E-04
       0.375188   9.9558068823787238E-01   6.6261184003190169E-04  -8.3262198278225528E-03   2.1443618128477004E-02  -6.7803144063781871E-03   2.1636313461156173E-02  -4.2731393170715757E-04  -3.4085657352234838E-04
       0.400200   9.9406377112533029E-01   9.7255359882024808E-04   1.4088734180546150E-02   2.2654712858899455E-02   1.5455968170907634E-02   2.1269551503101679E-02  -2.7644767762018309E-04   6.8219936768193566E-04
       0.425213   9.9224458388573367E-01   1.3848718410108152E-03   3.0394518072830588E-02   2.7017918317543623E-03   3.0065112066938529E-02   3.3254220597401103E-04   9.5972176167282840E-04   9.4638320481733447E-05
       0.450225   9.9012033576367997E-01   1.9190916808379569E-03   2.3105563019980263E-02  -2.5575004089088318E-02   2.0584084987895039E-02  -2.7001323183371881E-02  -2.2873362092612874E-04  -1.2110204256189617E-03
