#        t [ns]             Re[<00|Psi>]             Im[<00|Psi>]             Re[<01|Psi>]             Im[<01|Psi>]             Re[<10|Psi>]             Im[<10|Psi>]             Re[<11|Psi>]             Im[<11|Psi>]
       0.000000   0.0000000000000000E+00   0.0000000000000000E+00   5.5511151231256798E-17   0.0000000000000000E+00   1.0000000000000000E+00   0.0000000000000000E+00   9.5387777394609158E-17   0.0000000000000000E+00
       0.025013   5.0548771069508540E-06  -2.1768028995948358E-06  -1.0373834620491855E-07   1.3977199107840294E-07   5.8964910055757624E-01  -8.0765816320825923E-01  -3.5320993669399951E-07   3.3538661942792559E-06
       0.050025   4.9395425147020694E-05  -2.1847858605060750E-05   1.0167425154589528E-07   3.3596361045938760E-07  -3.0462563789908176E-01  -9.5246979274784860E-01   3.2480312093269855E-05  -6.3550375677430246E-06
       0.075038   1.6920527770081855E-04  -7.6640858671874230E-05   5.2441465755993370E-07   1.8786689247300467E-07  -9.4889194377290009E-01  -3.1558948477372173E-01  -5.3615881072858939E-05  -1.0040518406708771E-04
       0.100050   3.9715359950119242E-04  -1.8418245846094970E-04   7.3945545973862869E-07  -4.9603340671020499E-07  -8.1440049807964032E-01   5.8029233857958318E-01  -1.8932621823308026E-04   1.9005681791561097E-04
       0.125063   7.6211796460852390E-04  -3.6193580818268302E-04   6.7417521091762968E-08  -1.5905502671882617E-06  -1.1532862316680749E-02   9.9992102781787084E-01   4.5691099176732304E-04   2.4193851318096845E-04
       0.150075   1.2889246434068015E-03  -6.2702250013401675E-04  -2.4433286168881958E-06  -1.9529327960914681E-06   8.0078317695874701E-01   5.9890998827995756E-01   1.6660480888707472E-04  -8.6243303308902936E-04
       0.175088   1.9981096352792030E-03  -9.9602925076363387E-04  -6.0567649746737033E-06   1.6383492796732294E-06   9.5586916188330684E-01  -2.9360209515807079E-01  -1.3607036406277609E-03   1.4333947919322772E-04
       0.200100   2.9057037021103039E-03  -1.4847990955193010E-03  -4.3979127445551983E-06   1.1374280429302641E-05   3.2648374005106306E-01  -9.4508463326300063E-01   7.7944800061560411E-04   1.8417105490752901E-03
       0.225113   4.0230453879399192E-03  -2.1082066897773009E-03   1.2104593011933881E-05   1.8966504954847542E-05  -5.7073203392851313E-01  -8.2088194027500339E-01   2.1374592618292783E-03  -1.7835039454105334E-03
       0.250125   5.3566276039727946E-03  -2.8799177276806116E-03   3.9196824699849415E-05   2.6003579246727237E-06  -9.9936610672962645E-01  -2.3089471714517931E-02  -3.1164437797903833E-03  -2.0455477362818328E-03
       0.275138   6.9079856497036036E-03  -3.8121336932929587E-03   4.1997126872040602E-05  -4.9772834917047029E-05  -6.0780011128746203E-01   7.9332105884505422E-01  -1.3677637562455477E-03   4.6391282870601935E-03
       0.300150   8.6736371569674647E-03  -4.9153252149451276E-03  -2.3999854727316259E-05  -1.0022233040296672E-04   2.8219609722432548E-01   9.5834880059507410E-01   6.1116341869317239E-03  -4.2414975939966242E-05
       0.325163   1.0645086846533813E-02  -6.1979601256778221E-03  -1.4413830005366945E-04  -6.0952253810405095E-05   9.3991889811610596E-01   3.3707498791520701E-01  -2.2322727489568124E-03  -7.2146073266675572E-03
       0.350175   1.2808910549071711E-02  -7.6662356908902994E-03  -1.9706861381693549E-04   1.1690331761928979E-04   8.2596783818201081E-01  -5.5990235329141469E-01  -7.5920556262831914E-03   5.1122964067186949E-03
       0.375188   1.5146933051962559E-02  -9.3238279278757656E-03  -3.2460711196015495E-05   3.2316110430550849E-04   3.4956361592004340E-02  -9.9635228706214041E-01   8.4379163142304335E-03   6.9105054805797010E-03
       0.400200   1.7636512516471768E-02  -1.1171673948301528E-02   3.3150903320302465E-04   3.0018866453097057E-04  -7.8306641504719865E-01  -6.1521497262662772E-01   4.9255478359340344E-03  -1.1817211014744275E-02
       0.425213   2.0250940251633019E-02  -1.3207805165467382E-02   5.8814479587912603E-04  -1.1858115028298742E-04  -9.5735150489590448E-01   2.6900381372823906E-01  -1.4747018734481783E-02  -1.5442693979779265E-03
       0.450225   2.2959958668961854E-02  -1.5427249411466044E-02   3.3292332519082647E-04  -7.1215244471059373E-04  -3.4703815936102889E-01   9.3008953449795428E-01   3.1284872377219854E-03   1.6674794377521753E-02
       0.475238   2.5730392797201893E-02  -1.7822018049996280E-02  -4.8060697931449849E-04  -8.8617151471358745E-04   5.4499913730333327E-01   8.2733286605713841E-01   1.7078482001191265E-02  -8.7703879104806710E-03
       0.500250   2.8526882662188426E-02  -2.0381189887048099E-02  -1.2551323528318958E-03  -1.7679357721009877E-04   9.8719384902538165E-01   4.8242285967818405E-02  -1.4854941899465606E-02  -1.5552630184948738E-02
