#        t [ns]             Re[<00|Psi>]             Im[<00|Psi>]             Re[<01|Psi>]             Im[<01|Psi>]             Re[<10|Psi>]             Im[<10|Psi>]             Re[<11|Psi>]             Im[<11|Psi>]
       0.000000   0.0000000000000000E+00   0.0000000000000000E+00   5.5511151231256798E-17   0.0000000000000000E+00   1.0000000000000000E+00   0.0000000000000000E+00   9.5387777394609158E-17   0.0000000000000000E+00
       0.025013   9.0731025457310716E-07   1.4566976724350448E-07  -1.0372054450036259E-07   1.3974800594507379E-07   5.8964910072310917E-01  -8.0765816344108332E-01   2.5043236001386681E-07   5.0432627005847776E-07
       0.050025   8.9145454125271551E-06   1.1329996205927482E-06   1.0082372974702011E-07   3.3321488243642095E-07  -3.0462564673990394E-01  -9.5246981880474657E-01   4.0810556429382190E-06  -3.6970382094674313E-06
       0.075038   3.0688571906048609E-05   2.9981768272519443E-06   4.9225868539723250E-07   1.7670940020973345E-07  -9.4889225515155851E-01  -3.1558957939307797E-01  -1.6033878668206798E-05  -9.9999347400512717E-06
       0.100050   7.2394861989724335E-05   4.9812453546232238E-06   5.8366289999720724E-07  -3.8889664401290269E-07  -8.1440193237359748E-01   5.8029343827553537E-01  -1.2315077895555149E-05   4.2737947570323931E-05
       0.125063   1.3964894158581119E-04   5.5792253826525633E-06   4.4854158924779180E-08  -8.8862440023041228E-07  -1.1532642977549065E-02   9.9992773504349819E-01   8.5675248653198463E-05   3.1521309003962464E-07
       0.150075   2.3747203427573906E-04   2.6059985922715805E-06  -8.5045493043730737E-07  -6.9929193259624574E-07   8.0079928125558353E-01   5.9892073601408347E-01  -3.9249720206975773E-05  -1.4022514717020599E-04
       0.175088   3.7025174869029790E-04  -6.7414346130213127E-06  -1.3160512567226413E-06   3.2998516449912077E-07   9.5591308004291187E-01  -2.9361869391847917E-01  -1.9371245738168821E-04   1.1856253225296004E-04
       0.200100   5.4170859940935333E-04  -2.5810837210828382E-05  -6.4280140472892460E-07   1.5628976665908511E-06   3.2650944346906124E-01  -9.4518151452452692E-01   2.4445447010557525E-04   2.2569735491708101E-04
       0.225113   7.5486907996009901E-04  -5.8417385207041727E-05   1.1148565167293955E-06   1.8350009989973652E-06  -5.7085571989622141E-01  -8.2103147965207046E-01   2.1033270227985320E-04  -4.1432521829655152E-04
       0.250125   1.0120459207143516E-03  -1.0876182728836764E-04   2.7803991761987500E-06   2.4412362916657483E-07  -9.9971291289650321E-01  -2.3064823483817540E-02  -6.1318080011391084E-04  -1.2061250657557286E-04
       0.275138   1.3148260644996882E-03  -1.8134500609971342E-04   2.4423169084910401E-06  -2.7827561036849214E-06  -6.0810514406659899E-01   7.9381989795722674E-01   6.6035277290701672E-05   8.1257878506797016E-04
       0.300150   1.6640667787306133E-03  -2.8087969428847713E-04  -1.0776795086511204E-06  -4.8636190323200056E-06   2.8256154021907420E-01   9.5920703060260626E-01   9.7200848814190939E-04  -3.6165630191476437E-04
       0.325163   2.0599001953060998E-03  -4.1220078960029952E-04  -6.1780140918913941E-06  -2.7171489960110691E-06   9.4130858250967497E-01   3.3738060804055825E-01  -7.6220152601938051E-04  -1.0428713719166120E-03
       0.350175   2.5017464293881284E-03  -5.8017499118645261E-04  -7.9207697860366620E-06   4.5753994422244321E-06   8.2751593081754793E-01  -5.6130377019184530E-01  -9.7481411857635409E-04   1.2435374570316407E-03
       0.375188   2.9883352771524901E-03  -7.8961114096461830E-04  -1.3440808144234208E-06   1.2266228241382084E-05   3.4608883841240889E-02  -9.9929456972232877E-01   1.7599617865833798E-03   7.2376122334683914E-04
       0.400200   3.5177363332154431E-03  -1.0451724565445843E-03   1.2165368497615998E-05   1.1163070621068963E-05  -7.8664647538473220E-01  -6.1717127971878682E-01   2.6065253797077296E-04  -2.2458765711354254E-03
       0.425213   4.0873972041310831E-03  -1.3512919033358411E-03   2.1453023437141103E-05  -4.2299212793447523E-06  -9.6226814149877826E-01   2.7140043138277559E-01  -2.6208794255603435E-03   4.2033618957839101E-04
       0.450225   4.6941893294286923E-03  -1.7120919508703252E-03   1.2175953712351127E-05  -2.5910649064481941E-05  -3.4819977201884489E-01   9.3715319537943564E-01   1.2953882748129458E-03   2.7980701911457431E-03
       0.475238   5.3344607611330013E-03  -2.1313099305193335E-03  -1.7668990460221822E-05  -3.2554543623127369E-05   5.5152230801376390E-01   8.3377191044811283E-01   2.6948922193596857E-03  -2.3076612867957598E-03
