#        t [ns]             Re[<00|Psi>]             Im[<00|Psi>]             Re[<01|Psi>]             Im[<01|Psi>]             Re[<10|Psi>]             Im[<10|Psi>]             Re[<11|Psi>]             Im[<11|Psi>]
       0.000000   1.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00
       0.010002   9.9999999999910316E-01   5.0253182815351861E-15   1.7851954618346634E-07  -2.7233010002635686E-07   1.7514234298564001E-07  -2.6901933097869777E-07  -4.3872091842583358E-14  -9.9996083291822969E-14
       0.020004   9.9999999991171673E-01   6.1938804761616032E-13   6.5668954082809770E-07  -3.1635572678080133E-06   6.3558862654763987E-07  -3.1211141575912676E-06  -9.8787725624700448E-12  -4.2415333533631091E-12
       0.030006   9.9999999893355340E-01   1.0125906124483163E-11  -1.9010057061727037E-06  -1.1067793092702577E-05  -1.9300661701126302E-06  -1.0901098647977492E-05  -1.2220485870013650E-10   4.3965607706735149E-11
       0.040008   9.9999999394253192E-01   7.4050599355125150E-11  -1.3868441806010230E-05  -2.2891274104805603E-05  -1.3820942385844639E-05  -2.2475848393482908E-05  -3.3722622305017391E-10   6.5613197049422385E-10
       0.050010   9.9999997695676834E-01   3.4719982463298818E-10  -4.1508388301161356E-05  -3.1658642658879747E-05  -4.1173355528197255E-05  -3.0875628080057132E-05   7.6427847739808438E-10   2.7004670288727957E-09
       0.060012   9.9999993176051749E-01   1.2268782866478947E-09  -8.6410666431301238E-05  -2.4580225309206051E-05  -8.5418443626784885E-05  -2.3404162171990594E-05   7.1096435977872647E-09   4.3057369446046081E-09
       0.070014   9.9999982981264113E-01   3.5639638309562705E-09  -1.4121228900788361E-04   1.3776288903904795E-05  -1.3905221619451777E-04   1.5151038333453788E-05   2.0293832717498064E-08  -4.2367252956239625E-09
       0.080016   9.9999962555432043E-01   8.9663419511705678E-09  -1.8749434761830390E-04   9.5614817377822351E-05  -1.8361514832007612E-04   9.6633918881150864E-05   2.6309308005289654E-08  -3.7266913060723972E-08
       0.090018   9.9999925123417144E-01   2.0206914656857268E-08  -1.9735853773632554E-04   2.2279703630363027E-04  -1.9137250816377252E-04   2.2244163443763449E-04  -1.2319785519916693E-08  -9.0396395187685932E-08
       0.100020   9.9999861136963231E-01   4.1746016103706777E-08  -1.3925981264138434E-04   3.8068811023272633E-04  -1.3124339380194181E-04   3.7747387526129212E-04  -1.3101864365327603E-07  -1.0709427843707817E-07
       0.110022   9.9999757696344449E-01   8.0375612085359428E-08   1.2582297020062553E-05   5.3535546372538876E-04   2.1741039851197497E-05   5.2750529091571377E-04  -2.9469999719363179E-07   1.9105288582972213E-08
       0.120024   9.9999597959323394E-01   1.4599015502532624E-07   2.6714006534399586E-04   6.3602761259353899E-04   2.7544224171233269E-04   6.2186479559687318E-04  -3.3626245417209722E-07   3.5653452838703301E-07
       0.130026   9.9999360549058625E-01   2.5248643110735685E-07   6.0678484047493647E-04   6.2359950962466741E-04   6.1099942040843938E-04   6.0215696470929830E-04  -4.9269653436205835E-09   7.7963083262638960E-07
       0.140028   9.9999018972362097E-01   4.1879219513921032E-07   9.8193515388115930E-04   4.4442795817842452E-04   9.7779187953368828E-04   4.1619576681242281E-04   8.0971012083425644E-07   8.8071269032492043E-07
       0.150030   9.9998541059387347E-01   6.7002086202633459E-07   1.3128406659284461E-03   6.7038038057296983E-05   1.2956396073162402E-03   3.4691376931611890E-05   1.7742130292344482E-06   1.3817598009728609E-07
       0.160032   9.9997888435432203E-01   1.0387470342201376E-06   1.4999079006587778E-03  -5.0193817917735032E-04   1.4655689687022245E-03  -5.3305345760069022E-04   2.0163921564146813E-06  -1.6035527607970395E-06
       0.170034   9.9997016035064745E-01   1.5663952123516757E-06   1.4420929639370188E-03  -1.2068735006608832E-03   1.3885519607409315E-03  -1.2287451106935982E-03   5.4230812663437254E-07  -3.6010428918786677E-06
       0.180036   9.9995871668230973E-01   2.3047316831400412E-06   1.0607830883997515E-03  -1.9412474724909963E-03   9.8950719058229098E-04  -1.9439023002780578E-03  -2.8452721520678620E-06  -4.1596638218336449E-06
       0.190038   9.9994395647378020E-01   3.3174473246241925E-06   3.2473069303206833E-04  -2.5573255463626266E-03   2.4200706077026651E-04  -2.5303418218450336E-03  -6.6763146872038660E-06  -1.5040096514522416E-06
       0.200040   9.9992520483932446E-01   4.6818169341808996E-06  -7.2953892066728086E-04  -2.8878062948964251E-03  -8.1195604224883037E-04  -2.8225673112570290E-03  -7.8938471226075574E-06   4.6001165786242099E-06
       0.210042   9.9990170661709865E-01   6.4904186892567171E-06  -1.9874842702701408E-03  -2.7771628879118240E-03  -2.0527670311373289E-03  -2.6695781650486168E-03  -3.4809684954945571E-06   1.1495421350256995E-05
       0.220044   9.9987262494006390E-01   8.8528955137719940E-06  -3.2609096805890072E-03  -2.1178012393674012E-03  -3.2888699619299487E-03  -1.9710146462027329E-03   6.8424659661720855E-06   1.3986129686502151E-05
       0.230046   9.9983704070235391E-01   1.1897738464107711E-05  -4.3090008768271451E-03  -8.8419636279869740E-04  -4.2791790612577534E-03  -7.1064859404308071E-04   1.8601631355553978E-05   7.1477678282947185E-06
       0.240048   9.9979395297032603E-01   1.5774070785315074E-05  -4.8748994051173306E-03   8.4263300026587594E-04  -4.7707822266803120E-03   1.0204668243632006E-03   2.3390125155691029E-05  -9.3962500978474097E-06
       0.250050   9.9974228037760549E-01   2.0653410039864642E-05  -4.7332120049568237E-03   2.8672593877936033E-03  -4.5470034183004038E-03   3.0180387970251622E-03   1.3436487897601709E-05  -2.8536658641777178E-05
       0.260052   9.9968086353309682E-01   2.6731384695113566E-05  -3.7408057743791002E-03   4.8932915791351289E-03  -3.4778861008508874E-03   4.9802126890882868E-03  -1.1868286243269754E-05  -3.7229883790040431E-05
       0.270054   9.9960846846020102E-01   3.4229380788452277E-05  -1.8813045506959065E-03   6.5592787735099896E-03  -1.5633406842704375E-03   6.5456402183514378E-03  -4.1773513118759994E-05  -2.3566311986723885E-05
       0.280056   9.9952379107446465E-01   4.3396093787153285E-05   7.0658181146947979E-04   7.4939170782478172E-03   1.0409027328519957E-03   7.3503007542508230E-03  -5.6762137167002477E-05   1.3579503675168703E-05
       0.290058   9.9942546269563026E-01   5.4508960538066147E-05   3.7251226830547152E-03   7.3831054064255512E-03   4.0225319315327530E-03   7.0951419185596686E-03  -3.9056382911065187E-05   5.8633740577953569E-05
       0.300060   9.9931205657866884E-01   6.7875446273124625E-05   6.7427667859650629E-03   6.0379642559595060E-03   6.9413664009061538E-03   5.6132741270777812E-03   1.3500124866296794E-05   8.3314933756029646E-05
       0.310062   9.9918209543693737E-01   8.3834162011886136E-05   9.2483350942648476E-03   3.4511393990325915E-03   9.2867752462790169E-03   2.9238664024331829E-03   7.9192911750906663E-05   6.1716598387419154E-05
       0.320064   9.9903405991921490E-01   1.0275578839062923E-04   1.0728559379149342E-02  -1.7088905267629193E-04   1.0557439576346543E-02  -7.3942702039911205E-04   1.1820252604868674E-04  -1.0195597136362296E-05
       0.330066   9.9886639799112575E-01   1.2504378295346845E-04   1.0758169455687569E-02  -4.4089971107112149E-03   1.0351996131642002E-02  -4.9345849836336889E-03   9.3611975568880517E-05  -1.0317986918815509E-04
       0.340068   9.9867753516048285E-01   1.5113484926888317E-04   9.0879531586716845E-03  -8.6707074410561340E-03   8.4555096965829909E-03  -9.0557558516010991E-03  -1.7903248812940703E-06  -1.6261830166316809E-04
       0.350070   9.9846588547547577E-01   1.8149914787999019E-04   5.7146690261536803E-03  -1.2265820875449212E-02   4.9054996414515861E-03  -1.2413514035641039E-02  -1.2987665263512060E-04  -1.3699763159874960E-04
       0.360072   9.9822986321450535E-01   2.1664023105518278E-04   9.1791836882998109E-04  -1.4509831283378570E-02   2.2886319587219709E-05  -1.4341272519732958E-02  -2.1750958540337888E-04  -1.4044022482099159E-05
       0.370074   9.9796789517696283E-01   2.5709468556376957E-04  -4.7468425339076492E-03  -1.4840529365826504E-02  -5.6022626583052612E-03  -1.4312366081565225E-02  -1.9422325683751777E-04   1.5802706889454242E-04
       0.380076   9.9767843347544660E-01   3.0343147024224293E-04  -1.0503486805029577E-02  -1.2929105399197786E-02  -1.1173438116177464E-02  -1.2048532131505637E-02  -4.0069689483474572E-05   2.8344013308777830E-04
       0.390078   9.9735996872197696E-01   3.5625093791943815E-04  -1.5454963645573893E-02  -8.7658467703097022E-03  -1.5793880535888202E-02  -7.5997748879996366E-03   1.8576243556970367E-04   2.6760810362356005E-04
       0.400080   9.9701104349375624E-01   4.1618353430137467E-04  -1.8715789777499138E-02  -2.7027014560808398E-03  -1.8603068009615115E-02  -1.3783490312635534E-03   3.6044793701385861E-04   7.9428957008670524E-05
       0.410082   9.9663026595808235E-01   4.8388816964962554E-04  -1.9558504390489808E-02   4.5595094502708933E-03  -1.8923558402129354E-02   5.8643041590709412E-03   3.5928984676266448E-04  -2.1055301874822762E-04
       0.420084   9.9621632353122735E-01   5.6005026247491168E-04  -1.7550905762765967E-02   1.2043250103781067E-02  -1.6394301512449701E-02   1.3120151527858760E-02   1.3555256634558639E-04  -4.4790741272772802E-04
       0.430086   9.9576799644253855E-01   6.4537945797146497E-04  -1.2660058742236135E-02   1.8620120508768039E-02  -1.1066368741098939E-02   1.9259195344560064E-02  -2.2919304568655674E-04  -4.7105303672169906E-04
       0.440088   9.9528417107276757E-01   7.4060702748584368E-04  -5.3022725226471116E-03   2.3175068605675208E-02  -3.4410291402998871E-03   2.3198986001622464E-02  -5.4440599419789207E-04  -2.1203012137202258E-04
       0.450090   9.9476385293474612E-01   8.4648295889487980E-04   3.6747001538379488E-03   2.4785696341613643E-02   5.5620906681207579E-03   2.4084266903237596E-02  -6.0414508981826984E-04   2.3782589004137762E-04
       0.460092   9.9420617916504672E-01   9.6377275131135243E-04   1.3080977446362173E-02   2.2888677601578866E-02   1.4708407858573202E-02   2.1447928833297339E-02  -3.1244474905245905E-04   6.4764551029105363E-04
       0.470094   9.9361043039721364E-01   1.0932539309841836E-03   2.1537594313069078E-02   1.7404884027706097E-02   2.2613153562169069E-02   1.5324916661339474E-02   2.3201413205266354E-04   7.5908966344250645E-04
       0.480096   9.9297604189050348E-01   1.2357123085675063E-03   2.7674304374279871E-02   8.7991035663134431E-03   2.7946184663873060E-02   6.2960244633083057E-03   7.5437836637126849E-04   4.4017702247713402E-04
       0.490098   9.9230261379286533E-01   1.3919380010440291E-03   3.0344201119110674E-02  -1.9411164598897664E-03   2.9647026571633515E-02  -4.5518788775396743E-03   9.3550867932502770E-04  -2.0685677193208227E-04
       0.500100   9.9158992042301186E-01   1.5627212444652419E-03   2.8822160903336773E-02  -1.3411080028486419E-02   2.7116142461737873E-02  -1.5750022563087506E-02   5.9818580706264880E-04  -8.6038747390562958E-04
       0.510102   9.9083791846390223E-01   1.7488480262731645E-03   2.2954077990682515E-02  -2.3969190877934279E-02   2.0349546793161491E-02  -2.5643378055363073E-02  -1.5715305138615137E-04  -1.1319650386639535E-03
       0.520104   9.9004675396862019E-01   1.9510955682667439E-03   1.3229221972064720E-02  -3.1969232302535157E-02   9.9905180209705850E-03  -3.2632181593937652E-02  -9.6051707430099681E-04  -7.8877608185467716E-04
       0.530106   9.8921676808946579E-01   2.1702276932515493E-03   7.5829018471364792E-04  -3.6012030831792732E-02  -2.7163981508713207E-03  -3.5424350000443444E-02  -1.3458381118700321E-03   7.7609285407961189E-05
       0.540108   9.8834850145192288E-01   2.4069901100509045E-03  -1.2846498502382625E-02  -3.5178391319425871E-02  -1.6069233300589326E-02  -3.3259463433657974E-02  -1.0133657233511917E-03   1.0487591623048035E-03
       0.550110   9.8744269710693200E-01   2.6621056528596697E-03  -2.5677632180533934E-02  -2.9205486458628714E-02  -2.8134725107755811E-02  -2.6066746141994803E-02  -3.6917978020551514E-05   1.5732433240816805E-03
       0.560112   9.8650030200744732E-01   2.9362695118960334E-03  -3.5798796964122304E-02  -1.8575250091460719E-02  -3.7026941056156143E-02  -1.4527433019699432E-02   1.1183972529213392E-03   1.2722645508650562E-03
       0.570114   9.8552246696845447E-01   3.2301444929668088E-03  -4.1534391593450168E-02  -4.4950986875339719E-03  -4.1198268872409197E-02  -2.5149804802607311E-05   1.8090055925917075E-03   1.9115205803353920E-04
       0.580116   9.8451054508333757E-01   3.5443563439298154E-03  -4.1738872624680810E-02   1.1233087546467560E-02  -3.9698103661843072E-02   1.5515377589707609E-02   1.5644794892339120E-03  -1.1622059216641937E-03
       0.590118   9.8346608858357065E-01   3.8794891861392679E-03  -3.6003250617256052E-02   2.6442632356924171E-02  -3.2356883178583276E-02   2.9883333476652237E-02   3.8911160728723692E-04  -2.0466940585239478E-03
       0.600120   9.8239084414303501E-01   4.2360810888231026E-03  -2.4763303359985646E-02   3.8901219869763595E-02  -1.9862313242894083E-02   4.0896793368741705E-02  -1.1727010804864486E-03  -1.8875594235550925E-03
       0.610122   9.8128674664269311E-01   4.6146198239914137E-03  -9.2872503333093440E-03   4.6638001776823423E-02  -3.7095780173487559E-03   4.6732595070281789E-02  -2.2787226007985949E-03  -6.3382549493419093E-04
       0.620124   9.8015591142576630E-01   5.0155388389332544E-03   8.4620392110514898E-03   4.8250562509927673E-02   1.3974045873674320E-02   4.6221191517917766E-02  -2.2374921722193302E-03   1.1424325473602009E-03
       0.630126   9.7900062508783370E-01   5.4392134826392723E-03   2.6076274690645593E-02   4.3144222382804805E-02   3.0710234784685247E-02   3.9059339767309055E-02  -9.2706236877626276E-04   2.4965171794797281E-03
       0.640128   9.7782333486027850E-01   5.8859575215938374E-03   4.1030678651748267E-02   3.1664093755144819E-02   4.4019021425951717E-02   2.5903755852219032E-02   1.0643073450321006E-03   2.6086640142327124E-03
       0.650130   9.7662663665914407E-01   6.3560199793036998E-03   5.1047259721641834E-02   1.5094689521433417E-02   5.1786876224027611E-02   8.3253749188690659E-03   2.6907473166841115E-03   1.2690905247542943E-03
