#    row  column               value [au]
       1       1  -3.3098461041150959E-15
       2       1   5.0776480144773917E-01
       6       1  -7.2362223864433209E-02
       7       1  -5.0854705804310674E-02
      11       1  -9.9571662946353057E-04
      12       1  -5.4360864245442397E-04
      17       1  -1.6212923919331035E-03
      25       1  -1.0935422600434172E-03
      28       1  -6.0214774836196347E-05
      29       1   1.0632976823909776E-04
      30       1   2.3632895778984015E-04
      38       1  -3.3053430024763963E-05
      41       1  -1.8515012459108708E-05
      44       1  -7.7076810964943343E-08
      46       1  -1.1347116944414315E-05
      47       1  -5.3591501334350860E-05
      59       1  -1.0605718037332620E-07
      61       1  -5.4915128896112058E-06
      62       1   7.7745513523675435E-06
      63       1  -4.5124095187968304E-06
      66       1   5.0203202517369321E-06
      78       1  -2.0480180227774349E-06
      79       1  -7.1191663945490563E-08
      81       1   1.1065622367328812E-07
      84       1  -1.5987848042877534E-06
      92       1  -6.6410548834240837E-09
      94       1   6.4783095630546287E-07
      99       1  -4.8859226985587871E-07
     108       1   2.3887721159897204E-06
     110       1   4.9316712465438881E-07
     120       1   7.7196212452457832E-07
     126       1   1.6467074892891639E-06
     130       1   3.7507599982198572E-06
     131       1   1.3347313759627526E-06
     139       1  -1.2813046327896020E-06
     144       1  -3.0523342997027676E-07
     148       1  -2.6556584391824945E-06
       1       2   5.0776480144773906E-01
       2       2  -5.7388837299163942E-15
       3       2   7.1780429414874125E-01
       4       2  -6.2419320146305548E-15
       5       2  -2.1400707650994682E-15
       9       2  -7.0172721081277548E-02
      10       2  -4.9904788972193220E-02
      13       2  -1.6693489604477085E-03
      15       2  -9.3538506947675459E-04
      22       2  -2.2983047441389190E-03
      31       2  -1.5574990217545612E-03
      33       2   1.0599694447069970E-15
      35       2  -4.0865749675631641E-05
      37       2  -1.3180616078160531E-04
      39       2   3.2256915067354480E-04
      45       2  -1.2959876851532243E-05
      49       2  -4.2191113679595668E-05
      53       2  -8.7347617430982957E-05
      54       2   6.2783498502694268E-05
      60       2  -7.8559101835966815E-05
      68       2  -1.1952686420123851E-05
      69       2   3.1178890556926372E-05
      74       2   1.9802041805847783E-05
      77       2  -4.0842989308197348E-05
      89       2  -3.2364096808946687E-05
      93       2  -5.4252862752916277E-05
     101       2  -1.0993008667486200E-04
     102       2  -2.5084607693866059E-05
     107       2   8.1589075360995511E-06
