# generated by tm_en_gh [RWA]; det_c =  200.000 MHz, det_1 =    0.000 MHz, det_2 = -100.000 MHz, alpha_1 =  -290.00 MHz, alpha_2 =  -310.00 MHz, J_qubit =     0.00 MHz, g_1 =    70.00 MHz, g_2 =    70.00 MHz, gamma_1 =     0.01 MHz, gamma_2 =     0.01 MHz, kappa =     0.05 MHz
#    row  column           Re.value [GHz]           Im.value [GHz]      i,  j,  n (row)          i,  j,  n (col)
       1       1   0.0000000000000000E+00   0.0000000000000000E+00      0      0      0          0      0      0
       2       2   2.0000000000000048E-01  -2.5000000000000001E-05      0      0      1          0      0      1
       2       7   6.9999999999999993E-02   0.0000000000000000E+00      0      0      1          0      1      0
       2      31   6.9999999999999993E-02   0.0000000000000000E+00      0      0      1          1      0      0
       3       3   4.0000000000000097E-01  -5.0000000000000002E-05      0      0      2          0      0      2
       3       8   9.8994949366116650E-02   0.0000000000000000E+00      0      0      2          0      1      1
       3      32   9.8994949366116650E-02   0.0000000000000000E+00      0      0      2          1      0      1
       4       4   6.0000000000000142E-01  -7.5000000000000007E-05      0      0      3          0      0      3
       4       9   1.2124355652982138E-01   0.0000000000000000E+00      0      0      3          0      1      2
       4      33   1.2124355652982138E-01   0.0000000000000000E+00      0      0      3          1      0      2
       5       5   8.0000000000000193E-01  -1.0000000000000000E-04      0      0      4          0      0      4
       5      10   1.3999999999999999E-01   0.0000000000000000E+00      0      0      4          0      1      3
       5      34   1.3999999999999999E-01   0.0000000000000000E+00      0      0      4          1      0      3
       6       6   1.0000000000000024E+00  -5.0000000000000000E+00      0      0      5          0      0      5
       6      11   1.5652475842498526E-01   0.0000000000000000E+00      0      0      5          0      1      4
       6      35   1.5652475842498526E-01   0.0000000000000000E+00      0      0      5          1      0      4
       7       7  -9.9999999999999895E-02  -6.0000000000000002E-06      0      1      0          0      1      0
       7      31   0.0000000000000000E+00   0.0000000000000000E+00      0      1      0          1      0      0
       8       8   1.0000000000000059E-01  -3.1000000000000001E-05      0      1      1          0      1      1
       8      13   9.8994949366116650E-02   0.0000000000000000E+00      0      1      1          0      2      0
       8      32   0.0000000000000000E+00   0.0000000000000000E+00      0      1      1          1      0      1
       8      37   6.9999999999999993E-02   0.0000000000000000E+00      0      1      1          1      1      0
       9       9   3.0000000000000104E-01  -5.6000000000000006E-05      0      1      2          0      1      2
       9      14   1.3999999999999999E-01   0.0000000000000000E+00      0      1      2          0      2      1
       9      33   0.0000000000000000E+00   0.0000000000000000E+00      0      1      2          1      0      2
       9      38   9.8994949366116650E-02   0.0000000000000000E+00      0      1      2          1      1      1
      10      10   5.0000000000000155E-01  -8.1000000000000004E-05      0      1      3          0      1      3
      10      15   1.7146428199482242E-01   0.0000000000000000E+00      0      1      3          0      2      2
      10      34   0.0000000000000000E+00   0.0000000000000000E+00      0      1      3          1      0      3
      10      39   1.2124355652982138E-01   0.0000000000000000E+00      0      1      3          1      1      2
      11      11   7.0000000000000207E-01  -1.0600000000000000E-04      0      1      4          0      1      4
      11      16   1.9798989873223330E-01   0.0000000000000000E+00      0      1      4          0      2      3
      11      35   0.0000000000000000E+00   0.0000000000000000E+00      0      1      4          1      0      4
      11      40   1.3999999999999999E-01   0.0000000000000000E+00      0      1      4          1      1      3
      12      12   9.0000000000000246E-01  -5.0000060000000000E+00      0      1      5          0      1      5
      12      17   2.2135943621178653E-01   0.0000000000000000E+00      0      1      5          0      2      4
      12      36   0.0000000000000000E+00   0.0000000000000000E+00      0      1      5          1      0      5
      12      41   1.5652475842498526E-01   0.0000000000000000E+00      0      1      5          1      1      4
      13      13  -5.0999999999999979E-01  -1.2000000000000000E-05      0      2      0          0      2      0
      13      37   0.0000000000000000E+00   0.0000000000000000E+00      0      2      0          1      1      0
      14      14  -3.0999999999999928E-01  -3.7000000000000005E-05      0      2      1          0      2      1
      14      19   1.2124355652982138E-01   0.0000000000000000E+00      0      2      1          0      3      0
      14      38   0.0000000000000000E+00   0.0000000000000000E+00      0      2      1          1      1      1
      14      43   6.9999999999999993E-02   0.0000000000000000E+00      0      2      1          1      2      0
