#        t [ns]             Re[<00|Psi>]             Im[<00|Psi>]             Re[<01|Psi>]             Im[<01|Psi>]             Re[<10|Psi>]             Im[<10|Psi>]             Re[<11|Psi>]             Im[<11|Psi>]
       0.000000   0.0000000000000000E+00   0.0000000000000000E+00   9.9999999999999922E-01   0.0000000000000000E+00   1.3877787807814859E-16   0.0000000000000000E+00   1.7083516896210585E-16   0.0000000000000000E+00
       0.025013   0.0000000000000000E+00   0.0000000000000000E+00   6.0227735095518742E-01  -7.9828550879629345E-01  -1.0372003399206076E-07   1.3974731805088680E-07  -4.3149465549993728E-16  -2.3154400563807545E-16
       0.050025   0.0000000000000000E+00   0.0000000000000000E+00  -2.7452174608072077E-01  -9.6157856308796075E-01   1.0079951541508425E-07   3.3313662486933460E-07  -3.8102003999395961E-16   7.4404350188133299E-16
       0.075038   0.0000000000000000E+00   0.0000000000000000E+00  -9.3295246249232144E-01  -3.5999025796650008E-01   4.9134740584544367E-07   1.7639319219858729E-07   8.6196143669884050E-16   5.3518115362983690E-16
       0.100050   0.0000000000000000E+00   0.0000000000000000E+00  -8.4927114392066250E-01   5.2794845226661391E-01   5.7926041803491035E-07  -3.8586919937078079E-07   5.9447482753670648E-16  -7.7903424665082889E-16
       0.125063   0.0000000000000000E+00   0.0000000000000000E+00  -9.0043175967265229E-02   9.9593224250472145E-01   4.4217130699963914E-08  -8.6881219840684309E-07  -5.5747963323596325E-16  -4.8724349765940617E-16
       0.150075   0.0000000000000000E+00   0.0000000000000000E+00   7.4080731144343004E-01   6.7170759528861479E-01  -8.0546831611461034E-07  -6.6388685708573814E-07  -2.0272594193196405E-16   3.0038081080204900E-16
       0.175088   0.0000000000000000E+00   0.0000000000000000E+00   9.8238590457444763E-01  -1.8682147042980740E-01  -1.1818406669139581E-06   2.9293803056537615E-07   1.0892519450977728E-16  -1.9996986453208927E-16
       0.200100   0.0000000000000000E+00   0.0000000000000000E+00   4.4253190764752331E-01  -8.9674277198288266E-01  -5.3606207122552929E-07   1.2839137235182152E-06  -6.1093932576957991E-16  -4.1799958738042703E-17
       0.225113   0.0000000000000000E+00   0.0000000000000000E+00  -4.4932981494320551E-01  -8.9335467025605664E-01   8.0029044302598606E-07   1.3448635890478400E-06  -9.3106756744872183E-17   9.0931400919433206E-16
       0.250125   0.0000000000000000E+00   0.0000000000000000E+00  -9.8377325813447880E-01  -1.7935380432560713E-01   1.7295249534754475E-06   1.7650306535429983E-07   1.0081712963704075E-15   1.9756896526980592E-16
       0.275138   0.0000000000000000E+00   0.0000000000000000E+00  -7.3567989479290008E-01   6.7731120176131743E-01   1.2894659577322720E-06  -1.4116632184174582E-06   2.6068820271053828E-16  -8.8673338513848680E-16
       0.300150   0.0000000000000000E+00   0.0000000000000000E+00   9.7604379126772445E-02   9.9521179549994399E-01  -3.9815444885862861E-07  -2.0468891870073502E-06  -5.9711161550256904E-16  -2.0135641093084922E-16
       0.325163   0.0000000000000000E+00   0.0000000000000000E+00   8.5324806143856002E-01   5.2147736238228160E-01  -2.0371545633030008E-06  -9.7495616070697455E-07   1.0652248269977580E-17   2.4301576743640413E-16
